Ano/mês do Óbito,Óbitos_p/Ocorrência,Pedestre traumatizado em um acidente de transporte,Ciclista traumatizado em um acidente de transporte,Motociclista traumat em um acidente de transporte,Ocupante triciclo motorizado traumat acid transp,Ocupante automóvel traumat acidente transporte,Ocupante caminhonete traumat acidente transporte,Ocupante veíc transp pesado traumat acid transp,Ocupante ônibus traumat acidente de transporte,Outros acidentes de transporte terrestre,Acidentes de transporte por água,Acidentes de transporte aéreo e espacial,Quedas,Exposição a forças mecânicas inanimadas,Exposição a forças mecânicas animadas,Afogamento e submersão acidentais,Outros riscos acidentais à respiração,"Expos corr elétr, radiação e temp press extrem amb","Exposição à fumaça, ao fogo e às chamas",Contato com fonte de calor ou substâncias quentes,Contato com animais e plantas venenosos,Exposição às forças da natureza,Envenenamento acidental e exposição subst nocivas,Exposição acidental a outr fatores e aos não espec,Lesões autoprovocadas intencionalmente,Agressões,Eventos (fatos) cuja intenção é indeterminada,Intervenções legais e operações de guerra,"Ef advers drog, medic e subst biológ finalid terap",Acid ocorr pacientes prest cuid médicos e cirúrg,Incid advers atos diagn terap assoc disposit médic,Reaç anorm compl tard proc cirúrg méd s/menç acid,Seqüelas causas externas de morbidade e mortalidad,Total Causa Externa
Fevereiro/2002,816,6,1,2,-,2,-,-,-,16,-,-,8,4,-,1,2,1,2,-,-,-,1,3,10,36,9,-,-,-,-,-,2,106
Março/2002,951,15,2,3,-,4,-,-,-,20,-,-,10,2,-,2,1,-,2,-,-,-,1,2,7,52,9,-,-,-,-,-,-,132
Abril/2002,937,9,3,1,-,2,-,-,-,21,-,-,8,-,-,-,4,1,1,-,-,-,1,5,3,39,6,1,-,-,-,-,-,105
Maio/2002,948,10,1,3,-,2,-,-,1,25,-,-,6,1,-,-,5,-,3,-,-,-,1,3,9,44,7,-,-,-,-,-,-,121
Junho/2002,1055,14,1,1,-,2,-,-,-,21,-,-,8,1,-,2,4,-,2,1,-,-,-,1,4,44,12,-,-,-,-,-,-,118
Julho/2002,1198,6,-,1,-,3,-,-,-,31,-,-,8,1,-,1,5,1,5,-,-,-,-,-,8,43,9,1,-,-,-,-,-,123
Agosto/2002,1046,11,2,2,-,3,-,-,-,13,-,-,10,-,-,-,5,1,3,1,-,-,-,4,6,40,14,4,-,-,-,-,1,120
Setembro/2002,1006,10,1,3,-,8,-,-,-,23,-,-,10,-,-,1,7,-,2,-,-,-,-,3,8,37,9,-,-,-,-,-,-,122
Outubro/2002,1014,9,1,2,-,4,-,1,-,15,-,-,12,2,-,4,5,1,4,-,-,-,-,1,5,49,6,-,-,-,-,-,1,122
Novembro/2002,996,9,-,1,-,7,-,-,-,27,-,-,3,1,-,3,1,1,2,-,-,-,-,2,2,48,9,-,-,-,-,-,1,117
Dezembro/2002,989,11,1,3,-,4,-,-,-,21,-,3,13,-,-,3,5,1,1,-,-,-,-,-,12,45,5,-,-,-,-,-,-,128
2003,12225,120,37,46,-,85,-,-,-,199,-,-,139,8,1,14,39,6,18,-,1,-,3,46,88,612,91,5,2,-,-,6,9,1575
Janeiro/2003,964,9,2,1,-,7,-,-,-,21,-,-,11,1,-,2,4,-,1,-,-,-,-,1,5,62,7,-,-,-,-,-,2,136
Fevereiro/2003,899,11,3,6,-,2,-,-,-,7,-,-,5,-,-,1,2,1,-,-,1,-,-,9,10,68,8,-,-,-,-,-,-,134
Março/2003,973,3,7,2,-,7,-,-,-,17,-,-,16,1,-,2,1,-,3,-,-,-,-,5,8,48,3,-,1,-,-,1,-,125
Abril/2003,1002,10,4,6,-,4,-,-,-,19,-,-,9,-,-,1,1,-,2,-,-,-,1,10,8,51,2,-,-,-,-,1,-,129
Maio/2003,1057,14,4,8,-,2,-,-,-,10,-,-,15,2,-,-,5,2,1,-,-,-,-,7,9,44,5,-,-,-,-,-,3,131
Junho/2003,1012,13,2,3,-,8,-,-,-,8,-,-,13,2,1,1,-,1,1,-,-,-,-,2,7,48,4,3,-,-,-,-,-,117
Julho/2003,1090,13,3,5,-,10,-,-,-,10,-,-,14,1,-,1,6,-,1,-,-,-,1,-,9,48,12,1,-,-,-,-,1,136
Agosto/2003,1185,12,6,8,-,5,-,-,-,17,-,-,18,-,-,-,5,-,2,-,-,-,1,1,6,46,12,-,-,-,-,-,1,140
Setembro/2003,1081,11,1,2,-,10,-,-,-,27,-,-,11,-,-,2,7,1,-,-,-,-,-,3,9,55,11,-,-,-,-,1,-,151
Outubro/2003,993,8,1,1,-,9,-,-,-,20,-,-,8,-,-,1,3,1,-,-,-,-,-,4,7,52,6,1,1,-,-,-,1,124
Novembro/2003,990,10,2,3,-,13,-,-,-,25,-,-,8,-,-,2,3,-,3,-,-,-,-,3,6,33,13,-,-,-,-,2,1,127
Dezembro/2003,979,6,2,1,-,8,-,-,-,18,-,-,11,1,-,1,2,-,4,-,-,-,-,1,4,57,8,-,-,-,-,1,-,125
2004,12827,172,40,55,-,129,1,1,1,137,-,1,161,17,2,23,23,4,28,1,1,-,6,2,109,693,43,1,2,1,-,6,8,1668
Janeiro/2004,955,8,4,5,-,5,-,-,-,10,-,-,9,3,-,5,5,-,3,-,-,-,-,-,10,43,1,-,-,-,-,-,-,111
Fevereiro/2004,907,13,7,4,-,17,-,1,-,9,-,-,13,-,-,3,1,-,4,-,-,-,1,-,7,54,-,-,-,-,-,1,1,136
Março/2004,1010,12,6,3,-,9,-,-,-,11,-,-,17,2,-,2,1,-,-,-,-,-,-,-,14,51,4,1,-,-,-,-,-,133
Abril/2004,1072,12,4,6,-,14,-,-,-,10,-,-,17,1,-,5,2,-,3,-,1,-,-,1,11,49,3,-,1,-,-,-,-,140
Maio/2004,1254,18,2,5,-,13,1,-,-,6,-,-,12,2,-,1,2,-,2,-,-,-,-,-,9,58,2,-,-,-,-,1,1,135
Junho/2004,1203,16,2,4,-,12,-,-,-,9,-,-,19,1,-,-,4,-,3,-,-,-,3,-,8,54,5,-,-,-,-,1,1,142
Julho/2004,1090,19,1,4,-,11,-,-,-,8,-,-,10,-,-,1,3,-,2,-,-,-,-,-,2,57,3,-,-,-,-,-,-,121
Agosto/2004,1150,18,3,5,-,8,-,-,-,11,-,-,8,2,1,1,1,-,4,-,-,-,1,-,9,61,6,-,-,1,-,-,1,141
Setembro/2004,1099,18,5,7,-,5,-,-,-,13,-,-,14,-,-,2,1,2,2,1,-,-,1,-,9,64,4,-,-,-,-,1,1,150
Outubro/2004,1065,22,4,4,-,12,-,-,1,11,-,-,13,2,-,1,1,-,1,-,-,-,-,-,12,59,5,-,1,-,-,-,1,150
Novembro/2004,1002,10,1,7,-,10,-,-,-,17,-,1,12,2,-,-,-,2,1,-,-,-,-,-,10,67,2,-,-,-,-,2,2,146
Dezembro/2004,1020,6,1,1,-,13,-,-,-,22,-,-,17,2,1,2,2,-,3,-,-,-,-,1,8,76,8,-,-,-,-,-,-,163
2005,12440,181,44,125,-,108,-,10,-,61,-,1,160,9,2,23,33,3,21,3,2,-,3,17,96,778,40,5,-,-,-,2,10,1737
Janeiro/2005,988,11,2,7,-,6,-,-,-,17,-,-,8,-,-,3,1,-,3,-,-,-,-,1,7,77,2,-,-,-,-,-,-,145
Fevereiro/2005,898,14,4,6,-,7,-,-,-,14,-,-,14,3,-,2,2,-,-,-,-,-,-,2,8,36,2,-,-,-,-,-,2,116
Março/2005,1008,14,4,12,-,11,-,2,-,1,-,1,16,-,-,1,-,-,2,-,-,-,-,-,6,63,2,1,-,-,-,-,2,138
Abril/2005,948,19,3,13,-,5,-,1,-,-,-,-,11,-,1,2,4,-,2,-,1,-,-,2,10,69,2,1,-,-,-,1,-,147
Maio/2005,1084,16,7,15,-,13,-,1,-,1,-,-,16,1,1,2,2,1,2,-,-,-,1,1,10,55,2,1,-,-,-,-,1,149
Junho/2005,1083,19,4,12,-,8,-,-,-,2,-,-,15,-,-,-,4,-,-,-,-,-,-,-,7,55,7,-,-,-,-,1,-,134
Julho/2005,1161,15,4,15,-,21,-,-,-,3,-,-,19,2,-,3,4,-,2,-,-,-,-,-,8,62,5,1,-,-,-,-,1,165
Agosto/2005,1122,12,5,12,-,11,-,1,-,6,-,-,13,-,-,2,5,1,-,-,-,-,2,-,10,74,5,-,-,-,-,-,1,160
Setembro/2005,1006,13,3,6,-,3,-,2,-,2,-,-,14,1,-,1,1,1,1,1,-,-,-,-,12,51,5,1,-,-,-,-,1,119
Outubro/2005,1105,16,1,7,-,7,-,-,-,3,-,-,11,-,-,-,3,-,5,2,1,-,-,1,8,91,2,-,-,-,-,-,1,159
Novembro/2005,1042,17,5,10,-,7,-,1,-,-,-,-,14,-,-,3,3,-,3,-,-,-,-,-,6,68,1,-,-,-,-,-,1,139
Dezembro/2005,995,15,2,10,-,9,-,2,-,12,-,-,9,2,-,4,4,-,1,-,-,-,-,10,4,77,5,-,-,-,-,-,-,166
2006,12572,182,38,112,-,128,-,5,-,18,-,-,171,7,1,20,47,3,25,2,2,-,9,6,109,874,68,1,3,-,1,7,7,1846
Janeiro/2006,1007,15,2,5,-,15,-,-,-,-,-,-,17,1,1,6,1,1,4,-,1,-,2,-,10,75,5,-,-,-,-,-,-,161
Fevereiro/2006,917,14,2,6,-,7,-,1,-,2,-,-,8,1,-,4,7,-,3,-,-,-,-,1,7,65,1,-,1,-,-,1,1,132
Março/2006,1060,17,4,12,-,12,-,-,-,4,-,-,18,-,-,2,5,-,2,1,-,-,1,1,12,77,7,1,-,-,-,-,-,176
Abril/2006,1011,11,6,8,-,16,-,-,-,1,-,-,10,-,-,1,-,-,2,-,-,-,-,-,4,90,5,-,-,-,-,1,1,156
Maio/2006,1144,19,5,15,-,9,-,1,-,1,-,-,15,-,-,-,3,-,1,1,-,-,-,1,8,65,5,-,-,-,-,1,-,150
Junho/2006,1100,17,3,9,-,8,-,1,-,-,-,-,12,1,-,-,9,-,3,-,-,-,2,1,4,75,9,-,-,-,-,-,2,156
Julho/2006,1166,14,5,14,-,5,-,1,-,1,-,-,21,-,-,-,2,-,1,-,-,-,2,1,14,67,9,-,1,-,-,2,1,161
Agosto/2006,1116,18,1,5,-,13,-,-,-,1,-,-,23,1,-,1,4,-,2,-,1,-,-,-,14,63,5,-,-,-,-,2,1,155
Setembro/2006,1078,16,3,8,-,9,-,-,-,3,-,-,10,1,-,-,7,-,3,-,-,-,-,-,8,64,7,-,-,-,-,-,-,139
Outubro/2006,1028,13,4,13,-,7,-,-,-,1,-,-,11,-,-,1,2,-,1,-,-,-,-,-,11,92,3,-,1,-,-,-,-,160
Novembro/2006,987,16,2,5,-,14,-,-,-,2,-,-,11,2,-,3,4,-,-,-,-,-,-,1,11,58,4,-,-,-,1,-,1,135
Dezembro/2006,958,12,1,12,-,13,-,1,-,2,-,-,15,-,-,2,3,2,3,-,-,-,2,-,6,83,8,-,-,-,-,-,-,165
2007,12585,191,38,138,-,116,1,8,-,21,-,1,222,8,1,20,38,9,29,3,1,1,9,3,78,827,82,3,-,1,-,1,15,1865
Janeiro/2007,968,15,5,5,-,11,-,-,-,1,-,-,16,1,-,4,4,-,2,-,-,-,1,-,12,83,3,-,-,1,-,-,-,164
Fevereiro/2007,874,12,3,7,-,10,-,2,-,-,-,-,17,1,-,2,3,1,3,-,1,-,-,-,4,71,6,-,-,-,-,-,-,143
Março/2007,1057,18,9,14,-,9,-,-,-,2,-,-,21,1,-,3,3,1,4,-,-,-,3,-,6,64,5,-,-,-,-,-,-,163
Abril/2007,979,23,3,9,-,7,1,1,-,5,-,-,11,1,-,1,-,2,6,-,-,-,1,2,9,79,8,-,-,-,-,-,-,169
Maio/2007,1160,15,2,11,-,13,-,1,-,1,-,-,23,-,1,-,6,-,2,1,-,-,-,-,8,79,11,-,-,-,-,-,4,178
Junho/2007,1199,21,1,12,-,11,-,2,-,-,-,-,17,1,-,-,1,-,4,-,-,1,1,-,5,65,6,-,-,-,-,1,4,153
Julho/2007,1151,8,3,15,-,20,-,-,-,2,-,-,12,1,-,-,4,-,-,-,-,-,1,-,5,60,9,-,-,-,-,-,-,140
